seq,category,name,ner_label
0,language,solidity,B-LANG
1,language,c,B-LANG
2,language,c++,B-LANG
3,language,c#,B-LANG
4,language,dart,B-LANG
5,language,elixir,B-LANG
6,language,groovy,B-LANG
7,language,java,B-LANG
8,language,javascript,B-LANG
9,language,lua,B-LANG
10,language,perl,B-LANG
11,language,php,B-LANG
12,language,python,B-LANG
13,language,r,B-LANG
14,language,ruby,B-LANG
15,language,rust,B-LANG
16,language,scala,B-LANG
17,language,swift,B-LANG
18,language,typescript,B-LANG
19,language,rescript,B-LANG
20,language,go,B-LANG
21,language,abap,B-LANG
22,language,ada,B-LANG
23,language,bash,B-LANG
24,language,erlang,B-LANG
25,language,f#,B-LANG
26,language,fortran,B-LANG
27,language,haskell,B-LANG
28,language,julia,B-LANG
29,language,kotlin,B-LANG
30,language,matlab,B-LANG
31,language,vhdl,B-LANG
32,language,css,B-LANG
33,language,html,B-LANG
34,language,hiveql,B-LANG
35,framework,angular,B-FRAME
36,framework,appium,B-FRAME
37,framework,armeria,B-FRAME
38,framework,backbonejs,B-FRAME
39,framework,codeigniter,B-FRAME
40,framework,dagger,B-FRAME
41,framework,dropwizard,B-FRAME
42,framework,echo,B-FRAME
43,framework,electra,B-FRAME
44,framework,electron,B-FRAME
45,framework,emberjs,B-FRAME
46,framework,expressjs,B-FRAME
47,framework,falcon,B-FRAME
48,framework,fastapi,B-FRAME
49,framework,fastify,B-FRAME
50,framework,fiber,B-FRAME
51,framework,flask,B-FRAME
52,framework,flink,B-FRAME
53,framework,gatsby,B-FRAME
54,framework,grpc,B-FRAME
55,framework,hadoop,B-FRAME
56,framework,jasmine,B-FRAME
57,framework,junit,B-FRAME
58,framework,kotest,B-FRAME
59,framework,ktor,B-FRAME
60,framework,laravel,B-FRAME
61,framework,meteor,B-FRAME
62,framework,mocha,B-FRAME
63,framework,mockito,B-FRAME
64,framework,nestjs,B-FRAME
65,framework,netty,B-FRAME
66,framework,nextjs,B-FRAME
67,framework,nuxtjs,B-FRAME
68,framework,phoenix,B-FRAME
69,framework,ray,B-FRAME
70,framework,react native,B-FRAME
71,framework,reactorkit,B-FRAME
72,framework,relay,B-FRAME
73,framework,ribs,B-FRAME
74,framework,ruby on rails,B-FRAME
75,framework,sanic,B-FRAME
76,framework,selenium,B-FRAME
77,framework,spark,B-FRAME
78,framework,spring,B-FRAME
79,framework,springboot,B-FRAME
80,framework,svelte,B-FRAME
81,framework,swagger,B-FRAME
82,framework,tailwind,B-FRAME
83,framework,thrift,B-FRAME
84,framework,vuejs,B-FRAME
85,framework,nodejs,B-FRAME
86,framework,django,B-FRAME
87,framework,javafx,B-FRAME
88,framework,mono,B-FRAME
89,library,alamofire,B-LIB
90,library,apollo,B-LIB
91,library,emotion,B-LIB
92,library,enzyme,B-LIB
93,library,exoplayer,B-LIB
94,library,glide,B-LIB
95,library,immer,B-LIB
96,library,jotai,B-LIB
97,library,keras,B-LIB
98,library,lottie,B-LIB
99,library,mobx,B-LIB
100,library,moya,B-LIB
101,library,react context,B-LIB
102,library,reactivex,B-LIB
103,library,reactjs,B-LIB
104,library,react query,B-LIB
105,library,recoil,B-LIB
106,library,redux,B-LIB
107,library,rest-assured,B-LIB
108,library,retrofit,B-LIB
109,library,sinon,B-LIB
110,library,snapkit,B-LIB
111,library,styled-components,B-LIB
112,library,tensorflow,B-LIB
113,library,testing library,B-LIB
114,library,vuex,B-LIB
115,library,zustand,B-LIB
116,library,pytorch,B-LIB
117,library,graphql,B-LIB
118,library,beautifulsoup,B-LIB
119,library,bokeh,B-LIB
120,library,fastai,B-LIB
121,library,grpcio,B-LIB
122,library,huggingface,B-LIB
123,library,lightgbm,B-LIB
124,library,matplotlib,B-LIB
125,library,numpy,B-LIB
126,library,opencv,B-LIB
127,library,pandas,B-LIB
128,library,plotly,B-LIB
129,library,pydantic,B-LIB
130,library,requests,B-LIB
131,library,scikit-learn,B-LIB
132,library,seaborn,B-LIB
133,library,sqlalchemy,B-LIB
134,library,transformers,B-LIB
135,library,xgboost,B-LIB
136,library,react,B-LIB
137,tool,agit,B-TOOL
138,tool,airflow,B-TOOL
139,tool,ansible,B-TOOL
140,tool,arcus,B-TOOL
141,tool,arangodb,B-TOOL
142,tool,argo cd,B-TOOL
143,tool,asana,B-TOOL
144,tool,aws,B-TOOL
145,tool,aws athena,B-TOOL
146,tool,aws auroradb,B-TOOL
147,tool,aws codebuild,B-TOOL
148,tool,aws codedeploy,B-TOOL
149,tool,aws codepipeline,B-TOOL
150,tool,aws documentdb,B-TOOL
151,tool,aws dynamodb,B-TOOL
152,tool,aws kinesis,B-TOOL
153,tool,aws mariadb,B-TOOL
154,tool,aws redshift,B-TOOL
155,tool,aws ses,B-TOOL
156,tool,aws sns,B-TOOL
157,tool,azure devops,B-TOOL
158,tool,bazel,B-TOOL
159,tool,bitbucket,B-TOOL
160,tool,bitrise,B-TOOL
161,tool,capistrano,B-TOOL
162,tool,cassandradb,B-TOOL
163,tool,celery,B-TOOL
164,tool,central dogma,B-TOOL
165,tool,ceph,B-TOOL
166,tool,circle ci,B-TOOL
167,tool,clickhouse,B-TOOL
168,tool,cockroachdb,B-TOOL
169,tool,confluence,B-TOOL
170,tool,couchbase,B-TOOL
171,tool,cubrid,B-TOOL
172,tool,cucumber,B-TOOL
173,tool,cypress,B-TOOL
174,tool,discord,B-TOOL
175,tool,docker,B-TOOL
176,tool,docusaurus,B-TOOL
177,tool,dooray,B-TOOL
178,tool,drone,B-TOOL
179,tool,druid,B-TOOL
180,tool,elasticsearch,B-TOOL
181,tool,fastlane,B-TOOL
182,tool,fluentd,B-TOOL
183,tool,flow,B-TOOL
184,tool,git,B-TOOL
185,tool,github,B-TOOL
186,tool,github action,B-TOOL
187,tool,gitlab,B-TOOL
188,tool,go cd,B-TOOL
189,tool,google bigquery,B-TOOL
190,tool,google cloud build,B-TOOL
191,tool,google data studio,B-TOOL
192,tool,google firebase,B-TOOL
193,tool,grafana,B-TOOL
194,tool,greenplum,B-TOOL
195,tool,gulp,B-TOOL
196,tool,h2,B-TOOL
197,tool,harbor,B-TOOL
198,tool,hbase,B-TOOL
199,tool,hazelcast,B-TOOL
200,tool,helm,B-TOOL
201,tool,hive,B-TOOL
202,tool,hugo,B-TOOL
203,tool,istio,B-TOOL
204,tool,jaeger,B-TOOL
205,tool,jandi,B-TOOL
206,tool,jenkins,B-TOOL
207,tool,jira,B-TOOL
208,tool,kafka,B-TOOL
209,tool,kakaotalk,B-TOOL
210,tool,kakaowork,B-TOOL
211,tool,karma,B-TOOL
212,tool,karpenter,B-TOOL
213,tool,kibana,B-TOOL
214,tool,kube-bench,B-TOOL
215,tool,kubeflow,B-TOOL
216,tool,kubernetes,B-TOOL
217,tool,kudu,B-TOOL
218,tool,linkerd,B-TOOL
219,tool,liquibase,B-TOOL
220,tool,locust,B-TOOL
221,tool,looker,B-TOOL
222,tool,memcached,B-TOOL
223,tool,metabase,B-TOOL
224,tool,microsoft-teams,B-TOOL
225,tool,mlflow,B-TOOL
226,tool,monday,B-TOOL
227,tool,mongodb,B-TOOL
228,tool,mssql,B-TOOL
229,tool,mysql,B-TOOL
230,tool,naver works,B-TOOL
231,tool,neo4j,B-TOOL
232,tool,nexus,B-TOOL
233,tool,ngrinder,B-TOOL
234,tool,nifi,B-TOOL
235,tool,notion,B-TOOL
236,tool,openebs,B-TOOL
237,tool,oracledb,B-TOOL
238,tool,packer,B-TOOL
239,tool,playwright,B-TOOL
240,tool,postgresql,B-TOOL
241,tool,presto,B-TOOL
242,tool,prometheus,B-TOOL
243,tool,rabbitmq,B-TOOL
244,tool,rancher,B-TOOL
245,tool,ranger,B-TOOL
246,tool,redash,B-TOOL
247,tool,redis,B-TOOL
248,tool,rocksdb,B-TOOL
249,tool,saltstack,B-TOOL
250,tool,slack,B-TOOL
251,tool,snowflake,B-TOOL
252,tool,solr,B-TOOL
