질문,답변
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['광고', '할당', '참여', '정산', '결제', '적립', '인증', '서비스', '공통', '플랫폼', '서버', '운영', '개발', '개선', '자동', '안정', '최적화', '고민', 'MAU', '규모', '트래픽', '환경', '가능', '지속', '이상', '프로그래밍', '언어', '원활', '커뮤니케이션', '스킬', '테스트', '코드', '작성', '문제', '해결', '후', '재발', '방지', '해법', 'REST', 'gRPC', '통신', '모델', '이해', '사용', 'API', '설계', '미션', '크리티컬', '책임감']","{'언어': [], '프레임워크': [], '라이브러리': ['gRPC'], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['광고', '생태', '프라이버시', '시대', '흐름', '성과', '측정', '방법', '머신', '러닝', '모델', '이해', '리서치', '팀', '프로덕트', '고객', '가치', '전달', '제품', '데이터 과학', '시스템', '통합', '사용', 'API', '제공', '데이터', '파이프라인', '아키텍쳐', '개발', '용이', '비용', '고려', '최적', '백', '엔드', '구축', '주요', '기술', 'Python', 'Flask', 'FastAPI', 'MySQL', 'DynamoDB', 'Airflow', 'Docker', 'Streamlit', 'ML', 'Terraform', 'AWS', '내외', '백엔드 개발', '경력', '역량', 'Spring', 'framework', '이용', '경험', '테스트', '코드', '작성', '존재', '서비스', '운영']","{'언어': ['Python'], '프레임워크': ['Spring', 'FastAPI', 'Flask'], '라이브러리': [], '툴': ['Docker']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['의료 영상', '데이터', '관리', 'service', '개발', '유지', '보수', '동작', 'container', '추가', 'domain', 'network', '작업', 'NET', '언어', 'Backend', '진행', '경험', '관련', '학과', '학사', '이상', '졸업', '보유']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['미식', '생활', '시작', '캐치', '테이블', '사람', '외식업', '전문', '통합', '플랫폼', '운영', '외식', '시장', '여정', '디지털', '앞장', '국내', '레스토랑', '예약', '실시', '대기', '서비스', '웨이팅', '오픈', '전용', '매장', '관리', '솔루션', '포스', '픽업', '차례', '전반', '자리매김', '성장', 'B', '론칭', '이후', '수년', '간', '노하우', '바탕', '지금', 'B2C', '앱', '탄생', '점주', '고객', '모두', '도움', '자리', '도전', '혁신', '브랜드', '해결', '세상', '생태', '앞', '합류', '서류', '접수', '코딩', '테스트', '인성', '검사', '인터뷰', '레퍼런스', '체크', '처우', '협의', '최종', '합격', '입사', '채용', '참고', '자료', '활용', '여부', '결정', '기준', '사용', '주요', '업무', '백', '엔드', '어플리케이션', '개발', 'C', '규모', '트래픽', '모니터링', '처리', '최적', '레거시', '시스템', '리팩토링', 'MSA', '전환', '포함', '점진', '개선', '효율', '백엔드 개발', '이상', '경험', '컴퓨터', '공학', '소프트웨어', '엔지니어링', '관련', '전공', '실무', '보유', '성능', '확장', '고려', 'DB', '모델링', 'RESTful', 'API', '설계', '구현', '분', 'Java', 'Spring', '프레임', '워크', '품질', '안정', '주도', '기여']","{'언어': ['Java'], '프레임워크': ['Spring'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['클라우드', '아키텍처', '설계', '최적', '솔루션', 'SaaS', '서비스', '인프라', '보안', '정책', '수립', 'DevOps', '환경', '구성', '운영', '프로', '비전', '도구', '활용', '구축', '자동', '기반', '자체', '관리', '역량', '재화', '지원', '학사', '학위', '취득자', 'Azure', 'AWS', '최적화', '업무', '경험', 'CI', 'CD', '자동화', '개발', '배포', '파이프라인', 'Kubernetes', '클러스터', '컨테이너', '애플리케이션', '위', '자격', '요건', '최소', '이상', '해당']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': ['Kubernetes']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['AR', '관련', 'registration', '연구', 'point', 'cloud', 'surfaceregistration', 'Medical', 'Image', 'Registration', 'multi', 'modality', 'non', 'rigid', '정합', '프로젝트', '수행', '경험자', 'C', 'Python', 'Swift', '이상', '언어', '사용', '논문', '리뷰', '구현', '학과', '석사', '졸업', 'or', '동일', '유사', '계열', '직무', '실무', '경험']","{'언어': ['Python'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['전사', '데이터', '사용', '환경', '개선', '거버넌스', '체계', '수립', '표준', '제공', '업무', '수행', '캐치', '테이블', '구성원', '기반', '의사', '결정', '통합', '분석', '설계', '구축', '운영', '발생', '다양', '효율', '안정', '수집', '저장', '처리', '서빙', '성능', '확장', '가능', '시스템', '개발', '품질', '향상', '지속', '모니터링', '검증', '엔지니어링', '분야', '관련', '경력', '이상', '보유자', '프로그래밍', '언어', 'Python', 'Java', '컴', '플라이', '원스', '이해', '보유', '클라우드', '플랫폼', '구성', '프로덕션', '레벨', '경험', 'Kubernetes', 'Docker', 'Airflow', 'kafka', '이해도', '분']","{'언어': ['Python', 'Java'], '프레임워크': [], '라이브러리': [], '툴': ['Docker', 'Kubernetes']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['미식', '생활', '시작', '캐치', '테이블', '사람', '외식업', '전문', '통합', '플랫폼', '운영', '외식', '시장', '여정', '디지털', '앞장', '국내', '레스토랑', '예약', '실시', '대기', '서비스', '웨이팅', '오픈', '전용', '매장', '관리', '솔루션', '포스', '픽업', '차례', '전반', '자리매김', '성장', 'B', '론칭', '이후', '수년', '간', '노하우', '바탕', '지금', 'B2C', '앱', '탄생', '점주', '고객', '모두', '도움', '자리', '도전', '혁신', '브랜드', '해결', '세상', '생태', '앞', '합류', '서류', '접수', 'SQL', '사', '쿼리테스트', '인성', '검사', '인터뷰', '레퍼런스', '체크', '처우', '협의', '최종', '합격', '입사', '사전', '안내', '전형', '전', '온라인', '쿼리', '테스트', '진행', '채용', '참고', '자료', '활용', '여부', '결정', '기준', '사용', '팀', '소개', 'Data', 'Analyst', 'Growth', '데이터', '파트', 'DA', '유닛', '소속', 'Scientist', 'Engineer', '다양', '직군', '구성', '경력', '구성원', '게임', '커머스', '백', '그라운드', '업무', '환경', 'BigQuery', '구축', 'Lake', '조회', '가공', 'Google', 'Cloud', 'Superset', 'Redash', '주요', '지표', '성과', '분석', '공유', '핵', 'A', 'Test', '프로덕트', '문제', '진단', '개선', '최적', '도출', '목표', '달성', '가설', '설정', '검증', '데이터 분석', '설계', '핵심', '도식', '기반', '의사', 'PM', 'Business', 'Owner', '이해관계자', '협업', '전사', '향', '프로젝트', '리딩', '이상', '주도', '탐색', '종합', '논리', '해석', '모바일', '방법', 'Customer', 'Lifetime', 'Value', 'Retention', 'Cohort', 'Analsis', '수준', '이해', '최소', '시각', '툴', 'GA', 'Tableau', '경험']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['케어', '회사', 'AI', '기반', '맞춤', '영양', '관리', '헬스케어', '스타트업', '일', '건강', '프로페셔널', '사용자', '데이터', '분석', '솔루션', '제공', '팀내', '약사', '연구진', '개발', '인공 지능', '서비스', '알고케어', '나스', 'NaaS', 'Nutrition', 'as', 'a', 'Service', '런칭', '전', '지금', '영양제', '통', '손', '알', '경험', '완전', '이제', '나이', '체중', '질환', '약', '생활', '습관', '현재', '상태', '배합', '몸', '성분', '구매', '제품', '중심', '터치', '이용', '혁신', '원', '시리즈', 'A', '투자', '유치', '누적', '조합', '돌파', 'Enterprise', 'L', '사', 'S', 'H', 'P', '도입', 'ARR', '연속', '세계', '최대', '테크', '전시회', 'CES', 'Innovation', 'Awards', '수상', '하반기', 'B', 'C', '가정', '준비', '알고러', '김앤장', '변호사', '경력', '이번', '창업', 'CEO', '서울대', '출신', '연구원', '네이버', '풀', '스택', '개발자', '신도리코', '씨젠', '하드웨어', '엔지니어', '채널', '플래그십', '세일즈', '매니저', '분야', '최고', '전문가', '동료', '시작', '방식', '변화', '여정', '안드로이드 개발', '자', '소개', '개인', '디스', '펜싱', '엔진', '통합', '키오스크', '태블릿', '앱', '편리', '안전', '플랫폼', '채용', '안드로이드', '모드', '구현', '안정', '극대', 'OTA', 'Over', 'the', 'Air', '업데이트', '기능', '포함', '원활', '배포', '환경', '구축', 'IoT', '디바이스', '지원', '완성도', '기여', '기술', '융합', '열정', '주요', '업무', '유지', '보수', '설계', '원격', '소프트웨어', '서버', '통신', '프로토콜 설계', '최적화', '고려', '친화', 'UI', 'UX', '성능', '최적', '장애', '상황', '모니터링', '효과', '디버깅', '문제', '해결', '이상', '분', 'RESTful', 'API', '활용', '클라이언트', 'Git', '협업', '버전', '학습', '자신', '생각', '논리', '제시', '설득', '능력', '팀', '단위', '진행', '결과']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': ['Git']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['캐치', '테이블', '발생', '다양', '데이터', '수집', '활용', '환경', '구성', '제공', '효율', '사용', '표준', '인프라', '품질', '관리', '모니터링', '이상', '프로그래밍', '언어', 'Python', 'Java', '클라우드', '플랫폼', 'AWS', 'GCP', '파이프라인', '구축', '운영', '경험자', 'Kubernetes', 'Docker', 'Airflow', '경험', '엔지니어링', '분야', '관련', '경력', '보유']","{'언어': ['Python', 'Java'], '프레임워크': [], '라이브러리': [], '툴': ['Docker', 'Kubernetes']}"
