wordpiece_tokens,ner_labels
solid ##ity,B-LANG B-LANG
solid ##ity,B-LANG B-LANG
c,B-LANG
c,B-LANG
c + +,B-LANG B-LANG B-LANG
c + +,B-LANG B-LANG B-LANG
c #,B-LANG B-LANG
c #,B-LANG B-LANG
dar ##t,B-LANG B-LANG
dar ##t,B-LANG B-LANG
eli ##xir,B-LANG B-LANG
eli ##xir,B-LANG B-LANG
gr ##oo ##vy,B-LANG B-LANG B-LANG
gr ##oo ##vy,B-LANG B-LANG B-LANG
ja ##va,B-LANG B-LANG
ja ##vas,B-LANG B-LANG
ja ##va,B-LANG B-LANG
j ##d ##k,B-LANG B-LANG B-LANG
ja ##vas ##cript,B-LANG B-LANG B-LANG
ja ##vac ##ript,B-LANG B-LANG B-LANG
ja ##vas ##ript,B-LANG B-LANG B-LANG
j ##si,B-LANG B-LANG
ja ##vs ##sc ##ript,B-LANG B-LANG B-LANG B-LANG
j ##s,B-LANG B-LANG
ja ##vas ##cript,B-LANG B-LANG B-LANG
ja ##vas ##ci ##pt,B-LANG B-LANG B-LANG B-LANG
ja ##va ##vs ##cript,B-LANG B-LANG B-LANG B-LANG
ja ##vas ##c ##rp ##it,B-LANG B-LANG B-LANG B-LANG B-LANG
ja ##vs ##cript,B-LANG B-LANG B-LANG
ja ##vas ##sc ##ript,B-LANG B-LANG B-LANG B-LANG
lua,B-LANG
lua,B-LANG
per ##l,B-LANG B-LANG
per ##l,B-LANG B-LANG
php,B-LANG
php,B-LANG
p ##yth ##on,B-LANG B-LANG B-LANG
p ##yton,B-LANG B-LANG
p ##y,B-LANG B-LANG
p ##yth ##on,B-LANG B-LANG B-LANG
p ##yt ##non,B-LANG B-LANG B-LANG
p ##y ##hto ##n,B-LANG B-LANG B-LANG B-LANG
p ##y ##ht ##hon,B-LANG B-LANG B-LANG B-LANG
p ##y ##hon,B-LANG B-LANG B-LANG
r,B-LANG
r,B-LANG
ru ##by,B-LANG B-LANG
ru ##by,B-LANG B-LANG
rail ##s,B-LANG B-LANG
rus ##t,B-LANG B-LANG
rus ##t,B-LANG B-LANG
scala,B-LANG
scala,B-LANG
s ##wi ##ft,B-LANG B-LANG B-LANG
s ##wi ##ft,B-LANG B-LANG B-LANG
s ##wit ##ft,B-LANG B-LANG B-LANG
s ##wi ##ft ##ui,B-LANG B-LANG B-LANG B-LANG
s ##wi ##ft ##m ##r,B-LANG B-LANG B-LANG B-LANG B-LANG
types ##cript,B-LANG B-LANG
t ##s,B-LANG B-LANG
types ##rci ##pt,B-LANG B-LANG B-LANG
types ##c ##rp ##it,B-LANG B-LANG B-LANG B-LANG
types ##ci ##pr ##t,B-LANG B-LANG B-LANG B-LANG
ty ##esc ##ript,B-LANG B-LANG B-LANG
types ##cript,B-LANG B-LANG
typ ##sc ##ript,B-LANG B-LANG B-LANG
res ##cript,B-LANG B-LANG
res ##cript,B-LANG B-LANG
go,B-LANG
go,B-LANG
gola ##ng,B-LANG B-LANG
ab ##ap,B-LANG B-LANG
ab ##ap,B-LANG B-LANG
ada,B-LANG
ada,B-LANG
bas ##h,B-LANG B-LANG
bas ##h,B-LANG B-LANG
er ##lang,B-LANG B-LANG
er ##lang,B-LANG B-LANG
f #,B-LANG B-LANG
f #,B-LANG B-LANG
fort ##ran,B-LANG B-LANG
fort ##ran,B-LANG B-LANG
has ##kell,B-LANG B-LANG
has ##kell,B-LANG B-LANG
juli ##a,B-LANG B-LANG
juli ##a,B-LANG B-LANG
kot ##lin,B-LANG B-LANG
kot ##lin,B-LANG B-LANG
mat ##lab,B-LANG B-LANG
mat ##lab,B-LANG B-LANG
v ##hd ##l,B-LANG B-LANG B-LANG
v ##hd ##l,B-LANG B-LANG B-LANG
c ##ss,B-LANG B-LANG
c ##ss,B-LANG B-LANG
html,B-LANG
html,B-LANG
hi ##ve ##q ##l,B-LANG B-LANG B-LANG B-LANG
hi ##ve ##q ##l,B-LANG B-LANG B-LANG B-LANG
angular,B-FRAME
angl ##uar,B-FRAME B-FRAME
angular ##js,B-FRAME B-FRAME
angular,B-FRAME
app ##ium,B-FRAME B-FRAME
app ##ium,B-FRAME B-FRAME
arme ##ria,B-FRAME B-FRAME
arme ##ria,B-FRAME B-FRAME
back ##bone ##js,B-FRAME B-FRAME B-FRAME
back ##bone ##js,B-FRAME B-FRAME B-FRAME
back ##bone j ##s,B-FRAME B-FRAME B-FRAME B-FRAME
back ##bone,B-FRAME B-FRAME
code ##ign ##iter,B-FRAME B-FRAME B-FRAME
code ##lg ##nite ##r,B-FRAME B-FRAME B-FRAME B-FRAME
code ##ign ##iter,B-FRAME B-FRAME B-FRAME
dag ##ger,B-FRAME B-FRAME
dag ##ger,B-FRAME B-FRAME
drop ##wi ##zard,B-FRAME B-FRAME B-FRAME
drop ##wi ##zard,B-FRAME B-FRAME B-FRAME
e ##cho,B-FRAME B-FRAME
e ##cho,B-FRAME B-FRAME
elect ##ra,B-FRAME B-FRAME
elect ##ra,B-FRAME B-FRAME
electron,B-FRAME
electron ##js,B-FRAME B-FRAME
electron,B-FRAME
ember ##js,B-FRAME B-FRAME
ember ##js,B-FRAME B-FRAME
ember j ##s,B-FRAME B-FRAME B-FRAME
express ##js,B-FRAME B-FRAME
express,B-FRAME
express ##js,B-FRAME B-FRAME
express j ##s,B-FRAME B-FRAME B-FRAME
fa ##lco ##n,B-FRAME B-FRAME B-FRAME
fa ##lco ##n,B-FRAME B-FRAME B-FRAME
fast ##api,B-FRAME B-FRAME
fast ##api,B-FRAME B-FRAME
fast ##ify,B-FRAME B-FRAME
